"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"STS-106","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Daniel C. Burbank","Manchester, Connecticut"
"Pioneer P-1","NASA","Cape Canaveral Air Force Station",",",,
"Progress M1-10","Roskosmos","Gagarin's Start",",",,
"STS-104","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James F. Reilly","Idaho"
"Pioneer 2","NASA","Cape Canaveral Air Force Station",",",,
"Kosmos 2468","Russian Space Forces","Plesetsk Cosmodrome",",",,
"HYLAS 2","Avanti Communications","Guiana Space Centre",",",,
"STS-93","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Steven Hawley","Ottawa, Kansas"
"STS-69","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James S. Voss","Cordova, Alabama"
"STS-95","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Pedro Duque","Spain"
"Skylab 3","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jack R. Lousma","Grand Rapids, Michigan"
"STS-82","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark C. Lee","Viroqua, Wisconsin"
"STS-131","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Clayton Anderson","Ashland, Nebraska"
"Progress M-47","Roskosmos","Gagarin's Start",",",,
"Vanguard 1","United States Navy","Cape Canaveral Air Force Station",",",,
"Intelsat 601","Intelsat","ELA-2",",",,
"STS-47","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jan Davis","Cocoa Beach, Florida"
"STS-58","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard A. Searfoss","Mount Clemens, Michigan"
"GSAT-1","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"Ekspress AM8","Russian Satellite Communications Company","Baikonur Cosmodrome Site 81",",",,
"SARAL","CNES","Satish Dhawan Space Centre",",",,
"STS-92","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William S. McArthur","Laurinburg"
"NigComSat-1","NIGCOMSAT","Xichang Satellite Launch Centre",",",,
"STS-51-F","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","C. Gordon Fullerton","Rochester, New York"
"Progress M1-3","Roskosmos","Gagarin's Start",",",,
"VesselSat-2","Orbcomm","Taiyuan Satellite Launch Center",",",,
"Kosmos 2459","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Earth Observing-1","NASA","Vandenberg Air Force Base",",",,
"COSMO-1","Italian Space Agency","Vandenberg Air Force Base",",",,
"Progress M-08M","Roskosmos","Gagarin's Start",",",,
"Kosmos 96","OKB-1","Baikonur Cosmodrome",",",,
"Galaxy 10R","Intelsat","ELA-2",",",,
"TacSat-2","AFRL","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"LOFTI-1","United States Naval Research Laboratory","Cape Canaveral Air Force Station",",",,
"Kosmos 2350","VKS","Baikonur Cosmodrome",",",,
"SpaceX CRS-9","SpaceX","Cape Canaveral Air Force Station",",",,
"PROBA2","European Space Agency","Plesetsk Cosmodrome",",",,
"Soyuz TMA-06M","Roskosmos","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Evgeny Tarelkin","Russia"
"STS-71","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ellen S. Baker","Fayetteville, North Carolina"
"STS-54","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gregory J. Harbaugh","Cleveland"
"High Energy Astronomy Observatory 3","NASA","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"STS-94","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James D. Halsell","West Monroe, Louisiana"
"STS-37","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Linda M. Godwin","Cape Girardeau, Missouri"
"Pioneer 6, 7, 8, and 9","National Aeronautics and Space Administration","Cape Canaveral Air Force Station",",",,
"Hispasat 1C","Hispasat","Cape Canaveral Air Force Station",",",,
"Ofek-9","Ministry of Defense (Israel)","Palmachim Airbase",",",,
"Explorer 9","NASA","Wallops Flight Facility Launch Area 3",",",,
"STS-51-J","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert L. Stewart","Washington, D.C."
"Small Astronomy Satellite 3","NASA","Broglio Space Centre",",",,
"OSIRIS-REx","NASA","Cape Canaveral Air Force Station",",",,
"Soyuz TMA-14M","Roskosmos","Kazakhstan","43.35032272338867,79.08035278320312","Barry E. Wilmore","Murfreesboro, Tennessee"
"Progress M-14M","Roskosmos","Gagarin's Start",",",,
"Progress M1-8","Roskosmos","Gagarin's Start",",",,
"OPUSAT","Osaka Prefecture University","Tanegashima Space Center",",",,
"STS-41-G","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sally Ride","California"
"STS-108","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Linda M. Godwin","Cape Girardeau, Missouri"
"TET-1","German Aerospace Center","Baikonur Cosmodrome",",",,
"USA-240","United States Air Force","Cape Canaveral Air Force Station",",",,
"STS-77","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Curtis Brown","Elizabethtown, North Carolina"
"USA-205","Missile Defense Agency","Vandenberg Air Force Base",",",,
"Landsat 1","NASA","Vandenberg Air Force Base",",",,
"USA-175","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-78","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard M. Linnehan","Lowell, Massachusetts"
"Kosmos 2443","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"USA-66","US Air Force","Cape Canaveral Air Force Station",",",,
"GSAT-8","ISRO","Guiana Space Centre",",",,
"Progress M-10M","Roskosmos","Gagarin's Start",",",,
"STS-104","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Janet L. Kavandi","Carthage, Missouri"
"A-004","NASA","White Sands Missile Range",",",,
